Job name,Duration (seconds),Time of execution,Result
Admin.Api.AcceptanceTests,21,2017-10-02T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-29T07:02:54Z,SUCCESS
Admin.Api.AcceptanceTests,21,2017-09-28T07:02:52Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-27T07:02:53Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-26T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-25T07:02:53Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-22T07:02:49Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-21T07:02:49Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-20T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,19,2017-09-19T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,19,2017-09-18T14:56:00Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-18T14:33:19Z,SUCCESS
Admin.Api.AcceptanceTests,22,2017-09-18T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-15T07:02:49Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-14T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-13T07:02:54Z,SUCCESS
Admin.Api.AcceptanceTests,20,2017-09-12T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-09-11T07:02:52Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-09-08T07:02:54Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-09-07T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-09-06T07:02:54Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-09-05T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-09-04T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-08-29T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,27,2017-08-28T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-25T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-08-24T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-22T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-21T07:02:55Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-08-18T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-17T07:02:50Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-08-16T07:02:53Z,SUCCESS
Admin.Api.AcceptanceTests,27,2017-08-15T07:02:46Z,SUCCESS
Admin.Api.AcceptanceTests,30,2017-08-14T07:02:51Z,SUCCESS
Admin.Api.AcceptanceTests,28,2017-08-11T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-08-10T07:02:43Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-09T07:02:47Z,SUCCESS
Admin.Api.AcceptanceTests,29,2017-08-08T07:02:48Z,SUCCESS
Admin.Api.AcceptanceTests,31,2017-08-07T07:02:48Z,SUCCESS
